category,key,value
Pricing,Starting price — residential plots,"₹2.25 Cr onwards (indicative starting price; varies by plot size, location and availability; subject to change; exact cost sheet from sales team)"
Pricing,Payment plans offered,"Time & Development Linked Plan and Down Payment Plan (detailed schedules shared formally by the sales team and incorporated in the Builder Buyer Agreement)"
General,Project name,Trident Parktown 1 (township brand: Trident Parktown)
General,Project type,Premium Integrated Township — Panipat's first
General,Product mix,"Residential Plots, Independent Floors, Group Housing, Commercial/Retail"
General,Township size,125+ acres total; Phase 1 (Parktown 1) approx. 60 acres
General,Project status,Under Development
Location,Address,"Sector 19A & 40, Nizampur Road, Panipat, Haryana – 132104"
Location,Highway access,Adjacent to Panipat Toll Plaza on NH-44 (the Delhi–Chandigarh highway)
Location,Distance to Old Panipat City,6 km (Panipat Bus Stand)
Location,Distance to Delhi,About 70 km — measured to Singhu Border (always state the reference point)
Location,Upcoming RRTS depot,About 8 minutes' drive
Location,Railway station,About 17 minutes' drive
Location,Nearest schools,"Mount Abu International 4 min, K R Mangalam World School 6 min, The Millennium School 9 min, Mother's Pride 10 min"
Location,Nearest hospitals,"Arya Hospital 6 min, Kidney Hospital 6 min, Artios Hospital 10 min, Civil Hospital 13 min"
Location,Retail nearby,"Tau Devi Lal Park 7 min, Unity One Mall 15 min, Mittal Mega Mall 18 min"
Sizes,Internal roads,"12m, 15m and 24m wide; township connects via a 45m sector road"
Sizes,Cycling track,2.25 km dedicated cycling track
General,Neighbourhoods,7 chakra-inspired neighbourhoods (Vistas)
General,Parks,10 theme-based parks
General,Clubhouse,"Club Emblem — ultra-modern clubhouse (independent development owned by the Developer; membership charges determined by the Developer)"
Legal / RERA,HRERA registration number,"HRERA-PKL-PNP-819-2026, dated 05.01.2026 (Haryana RERA, Panchkula) — verify at haryanarera.gov.in"
Legal / RERA,DTCP licence,"Licence No. 242 of 2025, dated 04.12.2025, under NILP Policy-2022"
Legal / RERA,Licensed area (Parktown 1),59.77084 acres
Legal / RERA,Project completion (per RERA),"31.12.2030 — project completion date, NOT an individual possession commitment"
Legal / RERA,Promoter entity,"Trident Park Town Private Limited (Trident Realty group), CIN U70104DL2023PTC410282"
Legal / RERA,Land mortgage disclosure,"Construction loan from IndusInd Bank Ltd.; project land of 59.77084 acres mortgaged; disclosed in the brochure; NOCs provided by the bank as required"
Legal / RERA,Maintenance responsibility,"Promoter responsible for 5 years from grant of completion certificate, or until the Association of Allottees takes over"
Legal / RERA,Hidden charges protection,"Per RERA conditions, the approved payment plan must be incorporated in the Builder Buyer Agreement with all charges payable until possession; no charges beyond the payment plan are payable by allottees"
Developer,Developer track record,"16 years of experience; 1.89 million sq. m. delivered; 1.02 million sq. m. under construction; 20,000+ customers"
Developer,Developer portfolio,"Trident Hills (Panchkula), Windsong Residences (Panchkula), Trident Embassy & Embassy-Reso (Noida), The Westpark Mumbai (JV with DLF), Trident Shoperio (Noida)"
Developer,Official phone,+91 702 603 5000
Developer,Official WhatsApp,+91 88000 15044
Developer,Corporate office,"Trident Realty, 16th Floor, DLF Square, DLF Phase-II, Jacaranda Marg, Gurugram – 122002"
Developer,Website,https://tridentrealty.co.in/project-detail/trident-parktown
